File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
test0394,2,17,96,13056,12920,0.4637,2.7302,2.7939,0.0544
test0869,2,30,60,26100,25665,0.9981,11.4423,12.7875,0.2943
test0712,2,27,48,16848,16497,0.5834,6.2426,6.6597,0.0687
test0541,2,33,55,29040,28512,1.5869,15.9595,16.6854,0.1813
test1092,2,31,64,29760,29295,1.2463,13.4848,14.8429,0.3399
test0228,2,10,87,3915,3870,0.0853,0.3902,0.405,0.2466
test1337,2,35,44,26180,25585,1.0371,13.6732,15.6357,0.1223
test0681,2,21,79,16590,16380,0.5755,4.4605,4.6879,0.0869
test0175,2,10,57,2565,2520,0.0364,0.2487,0.2506,0.0126
test0080,2,11,90,4950,4895,0.1143,0.5176,0.5395,0.161
test0593,2,15,89,9345,9240,0.3346,1.5379,1.6066,0.0631
test0488,2,36,47,29610,28980,1.0357,16.3138,18.4617,0.3364
test0318,2,14,63,5733,5642,0.117,1.0585,0.8875,0.0242
test1374,2,32,42,20832,20336,0.7368,9.7514,10.7765,0.1044
test1091,2,33,41,21648,21120,0.6154,10.2368,11.5817,0.3936
test0369,2,10,80,3600,3555,0.0719,0.3537,0.3688,0.0194
test0430,2,16,80,9600,9480,0.2753,1.972,1.9652,0.0402
test0747,2,15,51,5355,5250,0.0909,0.8583,0.8965,0.0481
test0459,2,13,48,3744,3666,0.0544,0.4797,0.6184,0.0471
test0033,2,23,98,24794,24541,1.1826,7.4009,8.2338,0.1258
test0313,2,25,99,29700,29400,1.5748,10.0849,10.7888,0.3329
test1061,2,31,62,28830,28365,1.3025,13.3833,14.7726,0.1515
test0873,2,37,42,27972,27306,0.9563,16.2215,18.3041,0.3449
test0184,2,29,64,25984,25578,1.0559,10.7828,12.0088,0.2964
test0326,2,24,89,24564,24288,1.1319,8.0633,8.6592,0.2713
test1352,2,34,53,29733,29172,1.1439,15.3685,17.2643,0.3472
test1287,2,30,68,29580,29145,1.2738,13.2716,14.6912,0.1383
test0458,2,14,42,3822,3731,0.0539,0.5687,0.5974,0.0423
test0660,2,26,47,15275,14950,0.4997,5.5286,5.7775,0.0641
test0699,2,29,60,24360,23954,0.9039,9.9878,11.1988,0.2597
test0006,2,17,46,6256,6120,0.2912,1.1886,1.2667,0.0546
test0767,2,13,51,3978,3900,0.0664,0.5123,0.5304,0.0441
test0282,2,13,76,5928,5850,0.1358,0.7837,0.8236,0.128
test0754,2,20,79,15010,14820,0.5306,3.8508,4.1241,0.0846
test0362,2,35,41,24395,23800,0.9048,12.8496,14.3332,0.1137
test0934,2,31,44,20460,19995,0.6025,9.2489,10.3455,0.1066
test0876,2,31,55,25575,25110,0.9096,11.4963,12.9991,0.2783
test0599,2,11,89,4895,4840,0.3006,0.5191,0.5391,0.0522
test0562,2,23,72,18216,17963,0.6535,5.4479,5.9667,0.0968
test0234,2,18,82,12546,12393,0.4083,2.7091,2.951,0.2524
test1422,2,33,41,21648,21120,0.6113,12.6737,11.4009,0.243
test0785,2,14,52,4732,4641,0.0823,0.7008,0.9043,0.0207
test1237,2,38,41,28823,28120,0.9291,17.1477,19.5359,0.3608
test1468,2,31,43,19995,19530,0.5641,8.9996,9.6009,0.2453
test0981,2,36,43,27090,26460,0.8754,15.0518,16.7422,0.338
test1107,2,31,44,20460,19995,0.733,9.1184,10.2156,0.0977
test0304,2,13,44,3432,3354,0.0464,0.4472,0.4549,0.0458
test0411,2,15,75,7875,7770,0.2016,1.2712,1.3445,0.2527
test0385,2,31,57,26505,26040,0.9864,11.8804,13.3171,0.3187
test0653,2,16,88,10560,10440,0.3385,2.1516,2.176,0.0694
test0961,2,30,63,27405,26970,1.0768,11.8723,13.288,0.1273
test0127,2,17,88,11968,11832,0.3945,2.5104,2.5729,0.0737
test0718,2,10,68,3060,3015,0.0539,0.2988,0.3045,0.0147
test1115,2,36,46,28980,28350,1.0487,16.1597,18.0916,0.3583
test1302,2,31,45,20925,20460,0.6108,9.2917,10.059,0.2288
test1044,2,30,60,26100,25665,0.9984,11.3554,12.5367,0.3063
test1379,2,30,59,25665,25230,0.9434,11.073,12.2339,0.2941
test1387,2,32,50,24800,24304,0.8306,11.7605,12.9099,0.27
test1050,2,36,47,29610,28980,1.0346,16.355,18.6276,0.3632
test0502,2,26,69,22425,22100,0.8391,8.1131,8.6303,0.2256
test1036,2,31,55,25575,25110,0.9399,11.348,12.5932,0.3002
test0957,2,30,48,20880,20445,0.7979,9.0579,9.8642,0.1081
test0648,2,15,66,6930,6825,0.1548,1.1108,1.3708,0.0601
test0495,2,12,76,5016,4950,0.1075,0.6242,0.6435,0.0513
test0932,2,31,50,23250,22785,0.769,10.3326,11.4143,0.275
test1029,2,30,53,23055,22620,0.9639,10.0665,10.9432,0.0836
test0525,2,24,41,11316,11040,0.2449,3.4559,3.7018,0.2835
