File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
rollernet3164,2,62,4,5592,3662,0.0186,2.0778,2.2279,0.0161
rollernet2378,2,62,5,6921,4829,0.0259,2.7809,2.7915,0.0192
rollernet3392,2,62,3,4984,3077,0.1405,1.5144,1.4891,0.0191
rollernet1462,2,62,7,9410,6826,0.0473,3.8665,4.0121,0.0231
rollernet2439,2,62,5,6653,4575,0.025,2.6372,2.6335,0.0218
rollernet2983,2,62,4,5953,4003,0.02,2.3395,2.3516,0.1881
rollernet1451,2,62,7,9419,6817,0.048,3.8647,4.0112,0.0275
rollernet3307,2,62,4,5134,3214,0.0171,1.7568,1.7271,0.0132
rollernet2178,2,62,5,7333,5202,0.0271,3.0111,3.0523,0.1946
rollernet3192,2,62,4,5526,3591,0.019,2.0111,1.995,0.0221
rollernet2051,2,62,5,7372,5210,0.0275,3.0891,2.9984,0.027
rollernet1807,2,62,6,8313,5968,0.0378,3.5241,3.5783,0.1547
rollernet1144,2,62,9,10947,7860,0.065,4.3377,4.0736,0.175
rollernet3258,2,62,4,5329,3404,0.0183,1.9121,1.8808,0.0193
rollernet1710,2,62,6,8435,6074,0.0422,3.7753,3.6637,0.0287
rollernet1175,2,62,9,10874,7872,0.0688,4.4495,4.2735,0.0263
rollernet2946,2,62,4,5996,4052,0.0213,2.5408,2.3915,0.0174
rollernet2275,2,62,5,7170,5058,0.0267,2.9543,3.1429,0.0176
rollernet1334,2,62,8,10012,7249,0.0571,4.0885,4.2257,0.0325
