File,Gamma,V,T,E,V_living,G_Edges,BBR19,LS,LSAR,DEC
rollernet2795,2,62,4,6088,246,4128,58,59,60,60
rollernet1525,2,62,7,9213,430,6622,89,91,91,106
rollernet2900,2,62,4,6035,245,4086,58,60,61,59
rollernet1121,2,62,9,11002,548,7853,117,121,119,137
rollernet1403,2,62,8,9637,485,6953,102,116,118,112
rollernet2356,2,62,5,6970,306,4871,61,61,61,67
rollernet3002,2,62,4,5918,245,3968,58,59,61,60
rollernet3319,2,62,4,5035,230,3123,44,46,48,46
rollernet1625,2,62,7,8762,427,6315,89,90,92,91
rollernet3302,2,62,4,5175,240,3255,54,56,57,54
rollernet1319,2,62,8,10035,486,7228,104,117,119,123
rollernet2411,2,62,5,6794,306,4706,61,61,61,72
