File,Gamma,dec,time_list_pos_m,decTotal,varDEC
gen_enron,275,0.0,0.0001,0.0001,0.0841
gen_enron,276,0.0,0.0001,0.0001,0.0838
gen_enron,277,0.0,0.0001,0.0001,0.0834
gen_enron,278,0.0,0.0001,0.0001,0.0831
gen_enron,279,0.0,0.0001,0.0001,0.0828
gen_enron,280,0.0,0.0001,0.0001,0.0826
gen_enron,281,0.0,0.0001,0.0001,0.0823
gen_enron,282,0.0,0.0001,0.0001,0.082
gen_enron,283,0.0,0.0001,0.0001,0.0817
gen_enron,284,0.0,0.0001,0.0001,0.0814
gen_enron,285,0.0,0.0001,0.0001,0.0811
gen_enron,286,0.0,0.0001,0.0001,0.0808
gen_enron,287,0.0,0.0001,0.0001,0.0805
gen_enron,288,0.0,0.0001,0.0001,0.0802
gen_enron,289,0.0,0.0001,0.0001,0.08
gen_enron,290,0.0,0.0001,0.0001,0.0797
gen_enron,291,0.0,0.0001,0.0001,0.0794
gen_enron,292,0.0,0.0001,0.0001,0.0791
gen_enron,293,0.0,0.0001,0.0001,0.0789
gen_enron,294,0.0,0.0001,0.0001,0.0786
gen_enron,295,0.0,0.0001,0.0001,0.0783
gen_enron,296,0.0,0.0001,0.0001,0.0781
gen_enron,297,0.0,0.0001,0.0001,0.0778
gen_enron,298,0.0,0.0001,0.0001,0.0775
gen_enron,299,0.0,0.0001,0.0001,0.0773
gen_enron,300,0.0,0.0001,0.0001,0.077
gen_enron,301,0.0,0.0001,0.0001,0.0768
gen_enron,302,0.0,0.0001,0.0001,0.0765
gen_enron,303,0.0,0.0001,0.0001,0.0763
gen_enron,304,0.0,0.0001,0.0001,0.076
gen_enron,305,0.0,0.0001,0.0001,0.0758
gen_enron,306,0.0,0.0001,0.0001,0.0755
gen_enron,307,0.0,0.0001,0.0001,0.0753
gen_enron,308,0.0,0.0001,0.0001,0.075
gen_enron,309,0.0,0.0001,0.0001,0.0748
gen_enron,310,0.0,0.0001,0.0001,0.0745
gen_enron,311,0.0,0.0001,0.0001,0.0743
gen_enron,312,0.0,0.0001,0.0001,0.0741
gen_enron,313,0.0,0.0001,0.0001,0.0738
gen_enron,314,0.0,0.0001,0.0001,0.0736
gen_enron,315,0.0,0.0001,0.0001,0.0733
gen_enron,316,0.0,0.0001,0.0001,0.0731
gen_enron,317,0.0,0.0001,0.0001,0.0729
gen_enron,318,0.0,0.0001,0.0001,0.0727
gen_enron,319,0.0,0.0001,0.0001,0.0724
gen_enron,320,0.0,0.0001,0.0001,0.0722
gen_enron,321,0.0,0.0001,0.0001,0.072
gen_enron,322,0.0,0.0001,0.0001,0.0717
gen_enron,323,0.0,0.0001,0.0001,0.0715
gen_enron,324,0.0,0.0001,0.0001,0.0713
gen_enron,325,0.0,0.0001,0.0001,0.0711
gen_enron,326,0.0,0.0001,0.0001,0.0709
gen_enron,327,0.0,0.0001,0.0001,0.0706
gen_enron,328,0.0,0.0001,0.0001,0.0704
gen_enron,329,0.0,0.0001,0.0001,0.0702
gen_enron,330,0.0,0.0001,0.0001,0.07
gen_enron,331,0.0,0.0001,0.0001,0.0698
gen_enron,332,0.0,0.0001,0.0001,0.0696
gen_enron,333,0.0,0.0001,0.0001,0.0694
gen_enron,334,0.0,0.0001,0.0001,0.0692
gen_enron,335,0.0,0.0001,0.0001,0.069
gen_enron,336,0.0,0.0001,0.0001,0.0688
gen_enron,337,0.0,0.0001,0.0001,0.0685
gen_enron,338,0.0,0.0001,0.0001,0.0683
gen_enron,339,0.0,0.0001,0.0001,0.0681
gen_enron,340,0.0,0.0001,0.0001,0.0679
gen_enron,341,0.0,0.0001,0.0001,0.0677
gen_enron,342,0.0,0.0001,0.0001,0.0675
gen_enron,343,0.0,0.0001,0.0001,0.0673
gen_enron,344,0.0,0.0001,0.0001,0.0671
gen_enron,345,0.0,0.0001,0.0001,0.067
gen_enron,346,0.0,0.0001,0.0001,0.0668
gen_enron,347,0.0,0.0001,0.0001,0.0666
gen_enron,348,0.0,0.0001,0.0001,0.0664
gen_enron,349,0.0,0.0001,0.0001,0.0662
gen_enron,350,0.0,0.0001,0.0001,0.066
gen_enron,351,0.0,0.0001,0.0001,0.0658
gen_enron,352,0.0,0.0001,0.0001,0.0656
gen_enron,353,0.0,0.0001,0.0001,0.0654
gen_enron,354,0.0,0.0001,0.0001,0.0652
gen_enron,355,0.0,0.0001,0.0001,0.0651
gen_enron,356,0.0,0.0001,0.0001,0.0649
gen_enron,357,0.0,0.0001,0.0001,0.0647
gen_enron,358,0.0,0.0001,0.0001,0.0645
gen_enron,359,0.0,0.0001,0.0001,0.0643
gen_enron,360,0.0,0.0001,0.0001,0.0642
gen_enron,361,0.0,0.0001,0.0001,0.064
gen_enron,362,0.0,0.0001,0.0001,0.0638
gen_enron,363,0.0,0.0001,0.0001,0.0636
gen_enron,364,0.0,0.0001,0.0001,0.0634
gen_enron,365,0.0,0.0001,0.0001,0.0633
gen_enron,366,0.0,0.0001,0.0001,0.0631
gen_enron,367,0.0,0.0001,0.0001,0.0629
gen_enron,368,0.0,0.0001,0.0001,0.0628
gen_enron,369,0.0,0.0001,0.0001,0.0626
gen_enron,370,0.0,0.0001,0.0001,0.0624
gen_enron,371,0.0,0.0001,0.0001,0.0622
gen_enron,372,0.0,0.0001,0.0001,0.0621
gen_enron,373,0.0,0.0001,0.0001,0.0619
gen_enron,374,0.0,0.0001,0.0001,0.0617
gen_enron,375,0.0,0.0001,0.0001,0.0616
gen_enron,376,0.0,0.0001,0.0001,0.0614
gen_enron,377,0.0,0.0001,0.0001,0.0613
gen_enron,378,0.0,0.0001,0.0001,0.0611
gen_enron,379,0.0,0.0001,0.0001,0.0609
gen_enron,380,0.0,0.0001,0.0001,0.0608
gen_enron,381,0.0,0.0001,0.0001,0.0606
gen_enron,382,0.0,0.0001,0.0001,0.0605
gen_enron,383,0.0,0.0001,0.0001,0.0603
gen_enron,384,0.0,0.0001,0.0001,0.0601
gen_enron,385,0.0,0.0001,0.0001,0.06
gen_enron,386,0.0,0.0001,0.0001,0.0598
gen_enron,387,0.0,0.0001,0.0001,0.0597
gen_enron,388,0.0,0.0001,0.0001,0.0595
gen_enron,389,0.0,0.0001,0.0001,0.0594
gen_enron,390,0.0,0.0001,0.0001,0.0592
gen_enron,391,0.0,0.0001,0.0001,0.0591
gen_enron,392,0.0,0.0001,0.0001,0.0589
gen_enron,393,0.0,0.0001,0.0001,0.0588
gen_enron,394,0.0,0.0001,0.0001,0.0586
gen_enron,395,0.0,0.0001,0.0001,0.0585
gen_enron,396,0.0,0.0001,0.0001,0.0583
gen_enron,397,0.0,0.0001,0.0001,0.0582
gen_enron,398,0.0,0.0001,0.0001,0.058
gen_enron,399,0.0,0.0001,0.0001,0.0579
