File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
enron8900000,2,150,12,3248,1492,0.0231,0.3577,0.2146,0.013
enron2940000,2,150,34,5299,2762,0.079,0.6475,0.318,0.0499
enron1890000,2,150,52,6256,3209,0.1214,0.8375,0.3132,0.0559
enron390000,2,150,252,11489,4891,0.4922,2.4549,0.4033,0.0793
enron8670000,2,150,12,3273,1507,0.0225,0.3488,0.2186,0.0161
enron3770000,2,150,27,4660,2375,0.056,0.548,0.2967,0.0461
enron9730000,2,150,11,3147,1416,0.0204,0.3372,0.261,0.0129
enron7730000,2,150,13,3465,1632,0.0253,0.4042,0.2371,0.0399
enron4690000,2,150,21,4282,2152,0.0559,0.5077,0.2855,0.0208
enron760000,2,150,130,9146,4463,0.3468,1.4903,0.3646,0.0721
enron160000,2,150,615,14271,4233,0.5462,5.0571,0.4157,0.0895
enron260000,2,150,378,12841,4644,0.4999,3.5111,0.4095,0.1184
enron3950000,2,150,25,4552,2292,0.0521,0.5316,0.2845,0.0489
enron540000,2,150,182,10445,4934,0.4031,1.9767,0.4133,0.075
enron9020000,2,150,11,3202,1447,0.0199,0.3394,0.2126,0.0156
enron6740000,2,150,15,3641,1746,0.03,0.4031,0.2924,0.0171
enron4620000,2,150,22,4225,2067,0.0439,0.4989,0.2717,0.0447
enron6340000,2,150,16,3739,1808,0.0324,0.4198,0.2483,0.016
enron8300000,2,150,12,3351,1541,0.0228,0.3669,0.2246,0.0138
enron2740000,2,150,36,5359,2755,0.0849,0.652,0.3553,0.0239
enron1910000,2,150,52,6314,3271,0.1245,0.8092,0.3217,0.0578
enron3510000,2,150,28,4794,2427,0.0624,0.5578,0.2791,0.0229
enron1870000,2,150,53,6343,3277,0.1248,0.8573,0.317,0.0297
enron1640000,2,150,60,6661,3396,0.1763,0.8549,0.3261,0.057
enron5100000,2,150,20,4052,1986,0.0383,0.4502,0.2599,0.0935
enron9360000,2,150,11,3190,1411,0.0207,0.3391,0.2032,0.0131
enron4070000,2,150,25,4555,2306,0.0536,0.5218,0.2856,0.0229
enron7520000,2,150,14,3457,1596,0.0249,0.3744,0.2179,0.043
enron650000,2,150,152,9687,4610,0.3377,1.6899,0.3674,0.073
enron2460000,2,150,40,5616,2882,0.0888,0.6689,0.3356,0.0551
enron9700000,2,150,11,3145,1412,0.0206,0.3398,0.2066,0.0128
enron2250000,2,150,44,5860,3022,0.106,0.7359,0.3302,0.0535
enron4480000,2,150,22,4385,2218,0.0477,0.5124,0.2846,0.0467
enron4300000,2,150,23,4450,2251,0.0498,0.5839,0.2883,0.0479
enron600000,2,150,164,10042,4812,0.3811,1.7669,0.4278,0.076
enron6700000,2,150,15,3646,1750,0.0321,0.3968,0.2394,0.0418
enron6480000,2,150,16,3708,1801,0.0321,0.4189,0.2553,0.0175
enron5270000,2,150,19,4075,2020,0.0404,0.4595,0.2647,0.0436
enron4960000,2,150,20,4234,2166,0.1048,0.499,0.2956,0.0445
enron790000,2,150,125,8949,4344,0.2908,1.4153,0.3561,0.0432
enron2620000,2,150,38,5515,2854,0.0877,0.7003,0.3098,0.0505
enron990000,2,150,100,8304,4207,0.2471,1.2495,0.3619,0.0647
enron240000,2,150,410,13046,4536,0.505,3.7432,0.4292,0.0844
enron3120000,2,150,32,5025,2549,0.0699,0.579,0.2904,0.0514
enron3970000,2,150,25,4560,2321,0.0552,0.537,0.2924,0.0482
enron3850000,2,150,26,4661,2371,0.058,0.554,0.3529,0.0496
enron4880000,2,150,21,4165,2073,0.0437,0.478,0.2713,0.0445
enron2520000,2,150,39,5562,2841,0.0895,0.681,0.3033,0.0543
enron8830000,2,150,12,3266,1510,0.0221,0.3575,0.223,0.0133
enron5120000,2,150,20,4040,1975,0.0388,0.4592,0.2552,0.1051
enron5070000,2,150,20,4117,2056,0.0421,0.4747,0.2749,0.047
enron4760000,2,150,21,4264,2166,0.0473,0.4981,0.2865,0.0475
enron4630000,2,150,22,4249,2109,0.0428,0.491,0.2701,0.0468
enron9600000,2,150,11,3223,1484,0.0205,0.4076,0.2175,0.0409
enron7140000,2,150,14,3637,1773,0.029,0.4119,0.2531,0.0439
enron1440000,2,150,69,7060,3583,0.1629,0.9384,0.3232,0.0605
enron1580000,2,150,63,6746,3356,0.1401,0.9352,0.3088,0.0572
enron1990000,2,150,50,6153,3163,0.117,0.7656,0.3146,0.0568
enron7570000,2,150,13,3433,1585,0.0242,0.3723,0.2225,0.0692
