File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
enron3440000,2,150,29,4907,2520,0.046,0.4487,0.2137,0.0154
enron5910000,2,150,17,3876,1933,0.0249,0.3124,0.1869,0.0106
enron7080000,2,150,14,3655,1807,0.0218,0.2966,0.1891,0.013
enron870000,2,150,113,8663,4267,0.1867,0.936,0.2488,0.0617
enron7110000,2,150,14,3643,1787,0.0209,0.2941,0.1832,0.0128
enron120000,2,150,819,15148,4236,0.4023,4.0609,0.3355,0.0456
enron6790000,2,150,15,3635,1747,0.0203,0.289,0.1826,0.0098
enron420000,2,150,234,11271,4958,0.3168,1.625,0.3135,0.0372
enron2860000,2,150,35,5239,2647,0.0538,0.4413,0.2027,0.0168
enron9780000,2,150,11,3136,1407,0.0146,0.2317,0.1466,0.0116
enron2630000,2,150,38,5435,2762,0.0587,0.4536,0.2013,0.0169
enron9060000,2,150,11,3181,1422,0.0545,0.2352,0.1457,0.0121
enron9140000,2,150,11,3172,1404,0.0136,0.2339,0.1408,0.0087
enron3760000,2,150,27,4718,2429,0.0406,0.3872,0.2087,0.0156
enron1810000,2,150,55,6414,3309,0.0922,0.5716,0.2488,0.0202
enron5900000,2,150,17,3874,1932,0.0255,0.3139,0.1881,0.0124
enron280000,2,150,351,12536,4592,0.3518,2.2559,0.2635,0.0408
enron5770000,2,150,18,3906,1912,0.0253,0.3082,0.1795,0.0122
enron5040000,2,150,20,4168,2084,0.03,0.3374,0.1949,0.0118
enron3310000,2,150,30,5010,2616,0.0498,0.4266,0.2181,0.0496
enron2080000,2,150,48,6021,3058,0.0776,0.5351,0.2096,0.0194
