File,Gamma,DC
test0562,2,177
test0234,2,373
test1422,2,541
test0785,2,427
test1237,2,601
test1468,2,827
test0981,2,297
test1107,2,152
test0304,2,868
test0411,2,42
test0385,2,589
test0653,2,72
test0961,2,25
test0127,2,976
test0718,2,338
test1115,2,830
test1302,2,272
test1044,2,687
test1379,2,153
test1387,2,373
test1050,2,537
test0502,2,842
test1036,2,295
test0957,2,393
test0648,2,802
test0495,2,860
test0932,2,119
test1029,2,1013
test0525,2,30
test0636,2,491
test0400,2,154
test0368,2,1231
test1425,2,643
test0379,2,233
test0363,2,709
test0948,2,533
test0266,2,535
test0235,2,122
test1465,2,699
test0749,2,416
test0875,2,15
test1162,2,220
test0227,2,42
test0084,2,95
test0153,2,177
test0295,2,857
test0440,2,223
test0545,2,185
test0837,2,358
test0139,2,442
test1167,2,22
test0095,2,729
test0840,2,1218
test1325,2,87
test0736,2,23
test0616,2,41
test0309,2,484
test0711,2,153
test0518,2,258
test0241,2,807
test0090,2,168
test0094,2,414
test0808,2,116
test0162,2,130
test1106,2,509
test0015,2,172
test1350,2,887
test0936,2,187
test0590,2,475
test0264,2,435
test0436,2,23
test0020,2,92
test1282,2,33
test1096,2,396
test0959,2,842
test0145,2,702
test0995,2,165
test0099,2,26
test1305,2,1191
test0561,2,51
test0662,2,144
test0288,2,763
test1211,2,1177
test0037,2,938
test0137,2,291
test0213,2,111
test0273,2,108
test0586,2,738
test0504,2,18
test0625,2,139
test0297,2,762
test1104,2,867
test0091,2,211
test0471,2,788
test0578,2,180
test1359,2,281
test1275,2,178
test1231,2,139
test0753,2,248
test0009,2,1250
test0659,2,365
test1235,2,728
test1421,2,631
test0287,2,1197
test1097,2,148
test0600,2,1289
test0925,2,192
test1322,2,20
test0968,2,756
test0812,2,26
test0958,2,198
test0332,2,379
test0051,2,218
test1329,2,13
test1028,2,447
test0381,2,614
test1213,2,273
test1498,2,355
test1419,2,145
test1361,2,197
test1165,2,124
test0038,2,30
test1452,2,273
test0987,2,927
test0251,2,555
test1160,2,286
test0734,2,700
test0677,2,778
test0832,2,42
test0194,2,32
test0690,2,219
test1045,2,661
test1370,2,225
test1386,2,229
test0200,2,261
test0673,2,22
test1147,2,211
test1476,2,177
test1164,2,292
test0152,2,524
test0706,2,274
test0595,2,143
test0480,2,148
test1088,2,533
test0542,2,131
test1199,2,166
test1356,2,419
test1453,2,399
test0823,2,25
test0159,2,83
test0418,2,202
test1494,2,35
test1294,2,441
test1311,2,739
test1225,2,415
test1486,2,507
test0772,2,80
test0809,2,373
test0254,2,356
test0325,2,203
test1474,2,143
test0386,2,209
test1491,2,316
test0947,2,647
test1049,2,80
test0087,2,546
test0066,2,24
test0201,2,30
test0275,2,59
test0324,2,539
test0498,2,382
test1127,2,66
test0894,2,849
test0191,2,77
test0346,2,1073
test0801,2,625
test1132,2,39
test0943,2,74
test0740,2,521
test1410,2,245
test0999,2,221
test1367,2,406
test0530,2,302
test0989,2,222
test0226,2,109
test0633,2,308
test1278,2,539
test0940,2,125
test1455,2,115
test1437,2,127
test0638,2,622
test0075,2,41
test0965,2,113
test0387,2,213
test0229,2,267
test1303,2,242
test1014,2,470
test0489,2,112
test0083,2,368
test1400,2,20
test1341,2,349
test1245,2,673
test1217,2,599
test0081,2,807
test1369,2,231
test1438,2,322
test0769,2,62
test0044,2,109
test1467,2,246
test1142,2,205
test1216,2,1042
test1390,2,454
test1016,2,357
test0592,2,570
test0047,2,110
test0181,2,185
test0115,2,425
test1017,2,136
test1060,2,648
test1358,2,609
test0010,2,266
test1304,2,203
test0064,2,235
test0603,2,382
test0667,2,39
test1405,2,1134
test0851,2,433
test0569,2,1307
test0464,2,1144
test0641,2,365
test0732,2,407
test1223,2,724
test0882,2,37
test0169,2,45
test1103,2,146
test1412,2,73
test0949,2,986
test0238,2,387
test0203,2,242
test0423,2,804
test0012,2,333
test0045,2,322
test1079,2,188
test0805,2,48
test1068,2,193
test0819,2,211
test0479,2,452
test0670,2,699
test0192,2,162
test0364,2,200
test0997,2,439
test1472,2,259
test1326,2,233
test1141,2,567
test0605,2,20
test1128,2,383
test1334,2,697
test1357,2,145
test0257,2,97
test0167,2,18
test0654,2,412
test1464,2,33
test1150,2,527
test1283,2,41
test1297,2,98
test0453,2,91
test0547,2,669
test0109,2,731
test1117,2,130
test1343,2,911
test0294,2,662
test0283,2,894
test1202,2,524
test1274,2,133
test0713,2,208
test0214,2,86
test1171,2,203
test0475,2,545
test0693,2,290
test1429,2,566
test0728,2,426
test0985,2,397
test0244,2,19
test1043,2,711
test0243,2,215
test1095,2,685
test0786,2,484
test0462,2,422
test0054,2,331
test1381,2,624
test1338,2,447
test0924,2,87
test0668,2,239
test1207,2,357
test1469,2,447
test0674,2,575
test0956,2,517
test0938,2,30
test1360,2,46
test0941,2,558
test0232,2,38
test0868,2,191
test1172,2,52
test1186,2,62
test1309,2,517
test0942,2,33
test0284,2,595
test0141,2,43
test1102,2,175
test0513,2,430
test1227,2,125
test0684,2,429
test1480,2,338
test0493,2,462
test0189,2,415
test0824,2,646
test1406,2,515
test1332,2,413
test0791,2,200
test1201,2,1155
test0642,2,631
test0950,2,388
test0216,2,34
test1242,2,322
test0771,2,1437
test0723,2,652
test0035,2,41
test1185,2,1302
test0388,2,386
test1116,2,256
test0236,2,164
test0963,2,141
test1042,2,91
test0246,2,916
test0661,2,486
test0639,2,646
test0577,2,45
test1063,2,245
test0085,2,561
test1401,2,749
test0433,2,154
test1442,2,806
test0515,2,190
test0424,2,369
test0072,2,190
test1411,2,947
test0531,2,596
test1445,2,806
test1391,2,329
test0853,2,490
test0068,2,800
test0520,2,364
test0804,2,93
test0815,2,154
test0166,2,235
test0058,2,97
test1228,2,117
test0967,2,896
test0451,2,157
test0321,2,196
test0057,2,120
test1206,2,307
test1070,2,23
test0709,2,35
test0024,2,278
test0839,2,939
test1204,2,109
test0598,2,581
test0206,2,238
test1280,2,27
test0655,2,668
test0403,2,698
test0281,2,813
test0156,2,119
test1284,2,581
test0473,2,572
test1449,2,184
test0121,2,21
test1344,2,355
test1205,2,95
test0494,2,185
test0188,2,129
test0126,2,299
test0340,2,34
test1122,2,421
test1163,2,909
test1080,2,194
test0624,2,298
test1493,2,111
test0793,2,37
test0615,2,24
test1194,2,25
test1210,2,169
test1154,2,483
test0039,2,116
test0401,2,193
test0608,2,284
test1286,2,244
test1074,2,448
test0133,2,535
test0380,2,355
test0410,2,188
test0416,2,925
test0695,2,312
test0249,2,344
test0376,2,1061
test0788,2,158
test1331,2,96
test0954,2,874
test0428,2,170
test0014,2,659
test0817,2,445
test1288,2,792
test0253,2,360
test1158,2,485
test0491,2,299
test0190,2,257
test1039,2,123
test0521,2,375
test0714,2,33
test0939,2,184
test0607,2,432
test0268,2,880
test0682,2,9
test0434,2,795
test0308,2,433
test1407,2,131
test0148,2,171
test1218,2,124
test0151,2,223
test0497,2,51
test0543,2,379
test0487,2,200
test1004,2,176
test0210,2,384
test0847,2,912
test0277,2,520
test0269,2,920
test1099,2,926
test0149,2,190
test1273,2,428
test0635,2,482
test0841,2,316
test0391,2,809
test1054,2,206
test1176,2,73
test1033,2,457
test1423,2,44
test1368,2,241
test0538,2,387
test0675,2,563
test0366,2,102
test1264,2,38
test0794,2,310
test1315,2,87
test1319,2,177
test1146,2,35
test0918,2,71
test1466,2,24
test1308,2,156
test1497,2,172
test0140,2,490
test1191,2,107
test0078,2,264
test1324,2,39
test0982,2,685
test0482,2,157
test0027,2,707
test1248,2,46
test0909,2,212
test0305,2,139
test0919,2,325
test0886,2,38
test0158,2,540
test1087,2,365
test0528,2,32
test1145,2,186
test1129,2,518
test1226,2,434
test0486,2,445
test1490,2,43
test1052,2,503
test0186,2,634
test0844,2,37
test1444,2,578
test0465,2,98
test0124,2,77
test0529,2,238
test0339,2,417
test1183,2,321
test0860,2,831
test1295,2,496
test1098,2,603
test1212,2,101
test0843,2,38
test0946,2,539
test0862,2,44
test0052,2,507
test0065,2,925
test0798,2,366
test0204,2,162
test0687,2,421
test0008,2,193
test1067,2,102
test0546,2,503
test0537,2,148
test0516,2,290
test1184,2,802
test0261,2,974
test1058,2,654
test0289,2,322
test1215,2,210
test0527,2,329
test1456,2,299
test0582,2,46
test0517,2,106
test0319,2,274
test0883,2,209
test0002,2,263
test0576,2,277
test1251,2,576
test0609,2,321
test0858,2,448
test0457,2,778
test0280,2,107
test0322,2,183
test0765,2,25
test0067,2,47
test1032,2,394
test0384,2,512
test0984,2,1291
test1108,2,367
test1138,2,575
test0778,2,264
test1241,2,863
test0421,2,553
test0276,2,222
test0435,2,752
test1089,2,377
test1416,2,162
test0814,2,160
test0597,2,768
test0826,2,1264
test0135,2,104
test0118,2,719
test0329,2,194
test1316,2,690
test0652,2,142
test0879,2,320
test1009,2,47
test0402,2,31
test0587,2,873
test0049,2,108
test0647,2,180
test0548,2,141
test0096,2,237
test1078,2,218
test0964,2,158
test0146,2,169
test0715,2,980
test0449,2,1088
test0867,2,245
test0328,2,383
test0996,2,148
test0040,2,30
test0643,2,28
test0519,2,272
test0649,2,235
test0811,2,611
test0202,2,525
test0303,2,317
test0944,2,319
test0439,2,1274
test0333,2,89
test0405,2,210
test1335,2,134
test0353,2,137
test0988,2,100
test0441,2,49
test0994,2,242
test0382,2,186
test0296,2,521
test0795,2,80
test0330,2,533
test0222,2,121
test0123,2,565
test0483,2,188
test0265,2,266
test0247,2,25
test0827,2,302
test0143,2,679
test0512,2,119
test0404,2,202
